File,N,Algorithm,Result,Time(s)
dataset/Random100.txt,78653,A1,1,0.001093000
dataset/Random100.txt,78653,A2,1,0.000535300
dataset/Random100.txt,78653,A3,1,0.000020800
dataset/Random100.txt,78653,A4,1,0.000002500
dataset/Random100.txt,45127,A1,1,0.000614000
dataset/Random100.txt,45127,A2,1,0.000307100
dataset/Random100.txt,45127,A3,1,0.000003400
dataset/Random100.txt,45127,A4,1,0.000001800
dataset/Random100.txt,383723,A1,1,0.005223500
dataset/Random100.txt,383723,A2,1,0.002699300
dataset/Random100.txt,383723,A3,1,0.000009600
dataset/Random100.txt,383723,A4,1,0.000004500
dataset/Random100.txt,41843,A1,1,0.000569300
dataset/Random100.txt,41843,A2,1,0.000284800
dataset/Random100.txt,41843,A3,1,0.000003300
dataset/Random100.txt,41843,A4,1,0.000001600
dataset/Random100.txt,342143,A1,1,0.006408400
dataset/Random100.txt,342143,A2,1,0.001860200
dataset/Random100.txt,342143,A3,1,0.000008300
dataset/Random100.txt,342143,A4,1,0.000003500
dataset/Random100.txt,298817,A1,1,0.002906200
dataset/Random100.txt,298817,A2,1,0.001293600
dataset/Random100.txt,298817,A3,1,0.000005400
dataset/Random100.txt,298817,A4,1,0.000002600
dataset/Random100.txt,341281,A1,1,0.002954400
dataset/Random100.txt,341281,A2,1,0.002554300
dataset/Random100.txt,341281,A3,1,0.000012700
dataset/Random100.txt,341281,A4,1,0.000004800
dataset/Random100.txt,269923,A1,1,0.002710000
dataset/Random100.txt,269923,A2,1,0.001051000
dataset/Random100.txt,269923,A3,1,0.000005500
dataset/Random100.txt,269923,A4,1,0.000002200
dataset/Random100.txt,314813,A1,1,0.002857500
dataset/Random100.txt,314813,A2,1,0.001597900
dataset/Random100.txt,314813,A3,1,0.000008100
dataset/Random100.txt,314813,A4,1,0.000003200
dataset/Random100.txt,75553,A1,1,0.000779300
dataset/Random100.txt,75553,A2,1,0.000388700
dataset/Random100.txt,75553,A3,1,0.000003400
dataset/Random100.txt,75553,A4,1,0.000001700
dataset/Random100.txt,335821,A1,1,0.003396500
dataset/Random100.txt,335821,A2,1,0.002641700
dataset/Random100.txt,335821,A3,1,0.000010900
dataset/Random100.txt,335821,A4,1,0.000004500
dataset/Random100.txt,319601,A1,1,0.005061700
dataset/Random100.txt,319601,A2,1,0.002022100
dataset/Random100.txt,319601,A3,1,0.000009900
dataset/Random100.txt,319601,A4,1,0.000004000
dataset/Random100.txt,107713,A1,1,0.001488600
dataset/Random100.txt,107713,A2,1,0.000684200
dataset/Random100.txt,107713,A3,1,0.000004800
dataset/Random100.txt,107713,A4,1,0.000002500
dataset/Random100.txt,378713,A1,1,0.005064600
dataset/Random100.txt,378713,A2,1,0.002681500
dataset/Random100.txt,378713,A3,1,0.000008600
dataset/Random100.txt,378713,A4,1,0.000004600
dataset/Random100.txt,299053,A1,1,0.004412000
dataset/Random100.txt,299053,A2,1,0.001280400
dataset/Random100.txt,299053,A3,1,0.000006300
dataset/Random100.txt,299053,A4,1,0.000002300
dataset/Random100.txt,68531,A1,1,0.000925400
dataset/Random100.txt,68531,A2,1,0.000454300
dataset/Random100.txt,68531,A3,1,0.000007100
dataset/Random100.txt,68531,A4,1,0.000001500
dataset/Random100.txt,10837,A1,1,0.000082600
dataset/Random100.txt,10837,A2,1,0.000043000
dataset/Random100.txt,10837,A3,1,0.000001600
dataset/Random100.txt,10837,A4,1,0.000000800
dataset/Random100.txt,370439,A1,1,0.003615300
dataset/Random100.txt,370439,A2,1,0.004410100
dataset/Random100.txt,370439,A3,1,0.000053600
dataset/Random100.txt,370439,A4,1,0.000017600
dataset/Random100.txt,154493,A1,1,0.003773000
dataset/Random100.txt,154493,A2,1,0.001084800
dataset/Random100.txt,154493,A3,1,0.000006200
dataset/Random100.txt,154493,A4,1,0.000002700
dataset/Random100.txt,106121,A1,1,0.001444800
dataset/Random100.txt,106121,A2,1,0.000732000
dataset/Random100.txt,106121,A3,1,0.000006100
dataset/Random100.txt,106121,A4,1,0.000002300
dataset/Random100.txt,102023,A1,1,0.001341200
dataset/Random100.txt,102023,A2,1,0.000941200
dataset/Random100.txt,102023,A3,1,0.000006900
dataset/Random100.txt,102023,A4,1,0.000003100
dataset/Random100.txt,203767,A1,1,0.001611500
dataset/Random100.txt,203767,A2,1,0.000793300
dataset/Random100.txt,203767,A3,1,0.000004600
dataset/Random100.txt,203767,A4,1,0.000002000
dataset/Random100.txt,139537,A1,1,0.001008300
dataset/Random100.txt,139537,A2,1,0.000458400
dataset/Random100.txt,139537,A3,1,0.000003300
dataset/Random100.txt,139537,A4,1,0.000001500
dataset/Random100.txt,230003,A1,1,0.003475100
dataset/Random100.txt,230003,A2,1,0.000851500
dataset/Random100.txt,230003,A3,1,0.000005300
dataset/Random100.txt,230003,A4,1,0.000002200
dataset/Random100.txt,155081,A1,1,0.001159500
dataset/Random100.txt,155081,A2,1,0.000574800
dataset/Random100.txt,155081,A3,1,0.000003600
dataset/Random100.txt,155081,A4,1,0.000001800
dataset/Random100.txt,323899,A1,1,0.003751000
dataset/Random100.txt,323899,A2,1,0.002051900
dataset/Random100.txt,323899,A3,1,0.000009700
dataset/Random100.txt,323899,A4,1,0.000004300
dataset/Random100.txt,192121,A1,1,0.001697700
dataset/Random100.txt,192121,A2,1,0.000703800
dataset/Random100.txt,192121,A3,1,0.000004100
dataset/Random100.txt,192121,A4,1,0.000001900
dataset/Random100.txt,292133,A1,1,0.002982300
dataset/Random100.txt,292133,A2,1,0.001401200
dataset/Random100.txt,292133,A3,1,0.000006000
dataset/Random100.txt,292133,A4,1,0.000002500
dataset/Random100.txt,196993,A1,1,0.002668900
dataset/Random100.txt,196993,A2,1,0.001337900
dataset/Random100.txt,196993,A3,1,0.000007800
dataset/Random100.txt,196993,A4,1,0.000003600
dataset/Random100.txt,72551,A1,1,0.000970300
dataset/Random100.txt,72551,A2,1,0.000447500
dataset/Random100.txt,72551,A3,1,0.000004100
dataset/Random100.txt,72551,A4,1,0.000002000
dataset/Random100.txt,100169,A1,1,0.001232700
dataset/Random100.txt,100169,A2,1,0.000647300
dataset/Random100.txt,100169,A3,1,0.000005800
dataset/Random100.txt,100169,A4,1,0.000002500
dataset/Random100.txt,43499,A1,1,0.000577600
dataset/Random100.txt,43499,A2,1,0.000367300
dataset/Random100.txt,43499,A3,1,0.000004300
dataset/Random100.txt,43499,A4,1,0.000001800
dataset/Random100.txt,273187,A1,1,0.003542800
dataset/Random100.txt,273187,A2,1,0.001726900
dataset/Random100.txt,273187,A3,1,0.000005400
dataset/Random100.txt,273187,A4,1,0.000002200
dataset/Random100.txt,25679,A1,1,0.000198500
dataset/Random100.txt,25679,A2,1,0.000094400
dataset/Random100.txt,25679,A3,1,0.000001500
dataset/Random100.txt,25679,A4,1,0.000000800
dataset/Random100.txt,217219,A1,1,0.002936100
dataset/Random100.txt,217219,A2,1,0.000810200
dataset/Random100.txt,217219,A3,1,0.000005000
dataset/Random100.txt,217219,A4,1,0.000002000
dataset/Random100.txt,364997,A1,1,0.002882800
dataset/Random100.txt,364997,A2,1,0.001748200
dataset/Random100.txt,364997,A3,1,0.000006000
dataset/Random100.txt,364997,A4,1,0.000002600
dataset/Random100.txt,363967,A1,1,0.005099200
dataset/Random100.txt,363967,A2,1,0.001642600
dataset/Random100.txt,363967,A3,1,0.000006000
dataset/Random100.txt,363967,A4,1,0.000002600
dataset/Random100.txt,44753,A1,1,0.000327900
dataset/Random100.txt,44753,A2,1,0.000163900
dataset/Random100.txt,44753,A3,1,0.000001800
dataset/Random100.txt,44753,A4,1,0.000000900
dataset/Random100.txt,91733,A1,1,0.000672000
dataset/Random100.txt,91733,A2,1,0.001483800
dataset/Random100.txt,91733,A3,1,0.000006400
dataset/Random100.txt,91733,A4,1,0.000002800
dataset/Random100.txt,156749,A1,1,0.001727500
dataset/Random100.txt,156749,A2,1,0.000697700
dataset/Random100.txt,156749,A3,1,0.000005100
dataset/Random100.txt,156749,A4,1,0.000001900
dataset/Random100.txt,263411,A1,1,0.002195400
dataset/Random100.txt,263411,A2,1,0.001090700
dataset/Random100.txt,263411,A3,1,0.000005000
dataset/Random100.txt,263411,A4,1,0.000002400
dataset/Random100.txt,291191,A1,1,0.002411200
dataset/Random100.txt,291191,A2,1,0.001304800
