File,N,Algorithm,Result,Time(s)
dataset/Test-1.txt,245183,A1,1,0.000226000
dataset/Test-1.txt,245183,A2,1,0.000113000
dataset/Test-1.txt,245183,A3,1,0.000001000
dataset/Test-1.txt,245183,A4,1,0.000002000
dataset/Test-1.txt,142963,A1,1,0.000132000
dataset/Test-1.txt,142963,A2,1,0.000066000
dataset/Test-1.txt,142963,A3,1,0.000002000
dataset/Test-1.txt,142963,A4,1,0.000001000
dataset/Test-1.txt,122267,A1,1,0.000113000
dataset/Test-1.txt,122267,A2,1,0.000056000
dataset/Test-1.txt,122267,A3,1,0.000000000
dataset/Test-1.txt,122267,A4,1,0.000000000
dataset/Test-1.txt,264029,A1,1,0.000243000
dataset/Test-1.txt,264029,A2,1,0.000121000
dataset/Test-1.txt,264029,A3,1,0.000001000
dataset/Test-1.txt,264029,A4,1,0.000000000
dataset/Test-1.txt,128221,A1,1,0.000118000
dataset/Test-1.txt,128221,A2,1,0.000060000
dataset/Test-1.txt,128221,A3,1,0.000001000
dataset/Test-1.txt,128221,A4,1,0.000001000
dataset/Test-1.txt,293179,A1,1,0.000270000
dataset/Test-1.txt,293179,A2,1,0.000135000
dataset/Test-1.txt,293179,A3,1,0.000001000
dataset/Test-1.txt,293179,A4,1,0.000001000
dataset/Test-1.txt,52391,A1,1,0.000049000
dataset/Test-1.txt,52391,A2,1,0.000025000
dataset/Test-1.txt,52391,A3,1,0.000001000
dataset/Test-1.txt,52391,A4,1,0.000000000
dataset/Test-1.txt,93563,A1,1,0.000086000
dataset/Test-1.txt,93563,A2,1,0.000043000
dataset/Test-1.txt,93563,A3,1,0.000001000
dataset/Test-1.txt,93563,A4,1,0.000002000
dataset/Test-1.txt,81359,A1,1,0.000075000
dataset/Test-1.txt,81359,A2,1,0.000038000
dataset/Test-1.txt,81359,A3,1,0.000002000
dataset/Test-1.txt,81359,A4,1,0.000000000
dataset/Test-1.txt,214141,A1,1,0.000197000
dataset/Test-1.txt,214141,A2,1,0.000106000
dataset/Test-1.txt,214141,A3,1,0.000000000
dataset/Test-1.txt,214141,A4,1,0.000000000
dataset/Test-1.txt,329269,A1,1,0.000304000
dataset/Test-1.txt,329269,A2,1,0.000153000
dataset/Test-1.txt,329269,A3,1,0.000000000
dataset/Test-1.txt,329269,A4,1,0.000000000
dataset/Test-1.txt,185057,A1,1,0.000171000
dataset/Test-1.txt,185057,A2,1,0.000085000
dataset/Test-1.txt,185057,A3,1,0.000000000
dataset/Test-1.txt,185057,A4,1,0.000000000
dataset/Test-1.txt,141551,A1,1,0.000130000
dataset/Test-1.txt,141551,A2,1,0.000066000
dataset/Test-1.txt,141551,A3,1,0.000000000
dataset/Test-1.txt,141551,A4,1,0.000000000
dataset/Test-1.txt,328343,A1,1,0.000301000
dataset/Test-1.txt,328343,A2,1,0.000148000
dataset/Test-1.txt,328343,A3,1,0.000001000
dataset/Test-1.txt,328343,A4,1,0.000001000
dataset/Test-1.txt,274441,A1,1,0.000227000
dataset/Test-1.txt,274441,A2,1,0.000113000
dataset/Test-1.txt,274441,A3,1,0.000001000
dataset/Test-1.txt,274441,A4,1,0.000001000
dataset/Test-1.txt,348083,A1,1,0.000287000
dataset/Test-1.txt,348083,A2,1,0.000144000
dataset/Test-1.txt,348083,A3,1,0.000001000
dataset/Test-1.txt,348083,A4,1,0.000002000
dataset/Test-1.txt,330439,A1,1,0.000273000
dataset/Test-1.txt,330439,A2,1,0.000137000
dataset/Test-1.txt,330439,A3,1,0.000002000
dataset/Test-1.txt,330439,A4,1,0.000001000
dataset/Test-1.txt,169501,A1,1,0.000147000
dataset/Test-1.txt,169501,A2,1,0.000070000
dataset/Test-1.txt,169501,A3,1,0.000001000
dataset/Test-1.txt,169501,A4,1,0.000001000
dataset/Test-1.txt,332069,A1,1,0.000274000
dataset/Test-1.txt,332069,A2,1,0.000137000
dataset/Test-1.txt,332069,A3,1,0.000001000
dataset/Test-1.txt,332069,A4,1,0.000001000
dataset/Test-1.txt,225257,A1,1,0.000186000
dataset/Test-1.txt,225257,A2,1,0.000094000
dataset/Test-1.txt,225257,A3,1,0.000001000
dataset/Test-1.txt,225257,A4,1,0.000001000
dataset/Test-1.txt,121661,A1,1,0.000100000
dataset/Test-1.txt,121661,A2,1,0.000050000
dataset/Test-1.txt,121661,A3,1,0.000000000
dataset/Test-1.txt,121661,A4,1,0.000001000
dataset/Test-1.txt,152111,A1,1,0.000126000
